Thread;Net size;Block size;Max;Average;Iterations;Time
1;100;16;98.645808;39.129181;2285.0;0.079778
1;100;20;98.645808;39.129181;2285.0;0.079338
1;100;25;98.645808;39.129181;2285.0;0.08521
1;100;32;98.645808;39.129181;2285.0;0.092065
1;100;64;98.645808;39.129181;2285.0;0.096987
1;200;16;346.344289;134.69887;4262.0;0.56874
1;200;20;346.344289;134.69887;4262.0;0.578778
1;200;25;346.344289;134.69887;4262.0;0.632417
1;200;32;346.344289;134.69887;4262.0;0.68432
1;200;64;346.344289;134.69887;4262.0;0.756212
1;500;16;943.239559;335.139297;6810.0;5.633966
1;500;20;943.239559;335.139297;6810.0;5.839511
1;500;25;943.239559;335.139297;6810.0;6.363132
1;500;32;943.239559;335.139297;6810.0;6.906995
1;500;64;943.239559;335.139297;6810.0;7.745574
1;1000;16;1495.902035;480.003301;8527.0;35.525506
1;1000;20;1495.902035;480.003301;8527.0;35.814555
1;1000;25;1495.902035;480.003301;8527.0;37.40017
1;1000;32;1495.902035;480.003301;8527.0;39.594908
1;1000;64;1495.902035;480.003301;8527.0;41.515366
1;2000;16;2018.808956;592.271507;9617.0;185.701664
1;2000;20;2018.808956;592.271507;9617.0;177.444622
1;2000;25;2018.808956;592.271507;9617.0;182.220079
1;2000;32;2018.808956;592.271507;9617.0;176.850259
1;2000;64;2018.808956;592.271507;9617.0;198.629389
6;100;16;98.645808;39.129181;2285.0;0.068848
6;100;20;98.645808;39.129181;2285.0;0.064537
6;100;25;98.645808;39.129181;2285.0;0.070498
6;100;32;98.645808;39.129181;2285.0;0.071931
6;100;64;98.645808;39.129181;2285.0;0.09582
6;200;16;346.344289;134.69887;4262.0;0.327911
6;200;20;346.344289;134.69887;4262.0;0.315566
6;200;25;346.344289;134.69887;4262.0;0.318249
6;200;32;346.344289;134.69887;4262.0;0.328028
6;200;64;346.344289;134.69887;4262.0;0.488896
6;500;16;943.239559;335.139297;6810.0;2.2047
6;500;20;943.239559;335.139297;6810.0;2.189628
6;500;25;943.239559;335.139297;6810.0;2.153089
6;500;32;943.239559;335.139297;6810.0;2.225474
6;500;64;943.239559;335.139297;6810.0;2.66018
6;1000;16;1495.902035;480.003301;8527.0;10.076588
6;1000;20;1495.902035;480.003301;8527.0;9.826368
6;1000;25;1495.902035;480.003301;8527.0;9.651179
6;1000;32;1495.902035;480.003301;8527.0;9.962217
6;1000;64;1495.902035;480.003301;8527.0;11.250599
6;2000;16;2018.808956;592.271507;9617.0;73.898552
6;2000;20;2018.808956;592.271507;9617.0;67.527099
6;2000;25;2018.808956;592.271507;9617.0;65.476846
6;2000;32;2018.808956;592.271507;9617.0;57.671663
6;2000;64;2018.808956;592.271507;9617.0;58.455018
12;100;16;98.645808;39.129181;2285.0;0.090711
12;100;20;98.645808;39.129181;2285.0;0.078661
12;100;25;98.645808;39.129181;2285.0;0.083456
12;100;32;98.645808;39.129181;2285.0;0.104192
12;100;64;98.645808;39.129181;2285.0;0.100747
12;200;16;346.344289;134.69887;4262.0;0.371709
12;200;20;346.344289;134.69887;4262.0;0.358348
12;200;25;346.344289;134.69887;4262.0;0.350168
12;200;32;346.344289;134.69887;4262.0;0.378342
12;200;64;346.344289;134.69887;4262.0;0.565397
12;500;16;943.239559;335.139297;6810.0;2.021338
12;500;20;943.239559;335.139297;6810.0;1.886943
12;500;25;943.239559;335.139297;6810.0;1.899523
12;500;32;943.239559;335.139297;6810.0;1.933714
12;500;64;943.239559;335.139297;6810.0;2.535041
12;1000;16;1495.902035;480.003301;8527.0;8.014178
12;1000;20;1495.902035;480.003301;8527.0;7.909267
12;1000;25;1495.902035;480.003301;8527.0;8.589018
12;1000;32;1495.902035;480.003301;8527.0;9.004572
12;1000;64;1495.902035;480.003301;8527.0;10.31808
12;2000;16;2018.808956;592.271507;9617.0;71.117808
12;2000;20;2018.808956;592.271507;9617.0;59.831023
12;2000;25;2018.808956;592.271507;9617.0;59.147567
12;2000;32;2018.808956;592.271507;9617.0;62.334097
12;2000;64;2018.808956;592.271507;9617.0;68.625722
