Net size;Epsilon;Max;Average;Iterations;Time
50;0.1;24.196943;9.406749;909.0;0.0191675
50;0.01;2.418075;0.94004;1469.0;0.021599
50;0.001;0.242578;0.094303;2028.0;0.0319275
100;0.1;98.645808;39.129181;2285.0;0.07733799999999999
100;0.01;9.915829;3.937575;4566.0;0.154451
100;0.001;0.991814;0.393849;6852.0;0.2266825
200;0.1;346.344289;134.69887;4262.0;0.31823500000000005
200;0.01;40.101595;16.088222;12779.0;0.9494644999999999
200;0.001;4.011018;1.609269;22017.0;1.6271735
500;0.1;943.239559;335.139297;6810.0;1.7576055
500;0.01;236.110722;94.066595;35723.0;9.204476
500;0.001;25.225427;10.182324;91802.0;23.736516
1000;0.1;1495.902035;480.003301;8527.0;6.702432
1000;0.01;629.86212;235.959289;54281.0;40.661531499999995
1000;0.001;100.409029;40.559177;228056.0;181.446275
